,LotFrontage,LotArea,MasVnrArea,BsmtUnfSF,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,TotalSquare,TotalBath,TotalBsmtBath,GarageAgeYrs,Age,TotalRooms,TotalLivArea,YrsFromRenn,MSZoning,Street,LotShape,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageCars,PavedDrive,MoSold,SaleCondition,Garage,HasBasement,HasFinishedBsmt,Id
0,-0.22087508895451458,-0.20714170777431132,0.5141038909843643,-0.9445906057378156,-0.7521758378613592,0.2165031608388436,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.0012765863846320692,1.1693866846213092,1.0603965489964808,-1.0087094885321846,-1.0432593655921558,0.7155907778035463,0.5295164700794902,-0.86994099517203,3.0,1.0,3.0,4.0,5.0,2.0,2.0,0.0,5.0,6.0,1.0,1.0,12.0,13.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,5.0,1.0,0.0,1.0,4.0,1.0,2.0,6.0,0.0,5.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1
1,0.4603197354510445,-0.09188637231949037,-0.5707501337786359,-0.6412279930944917,1.6261947918523714,-0.704483250333654,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.052406747786084326,0.38297279261434874,0.08914249533596515,0.07352708433691817,-0.1834650642921507,-0.17017652664170838,0.3024041977280975,0.3901406691440024,3.0,1.0,3.0,2.0,24.0,1.0,2.0,0.0,2.0,5.0,1.0,1.0,8.0,8.0,3.0,4.0,1.0,2.0,3.0,1.0,0.0,5.0,1.0,0.0,1.0,4.0,1.0,3.0,6.0,1.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,2
2,-0.08463612407340275,0.07347997855047012,0.32591492750506834,-0.3016429789415173,-0.7521758378613592,-0.07036145903455729,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,0.16915728495354213,1.1693866846213092,1.0603965489964808,-0.9254605213884073,-0.9771213424152324,-0.17017652664170838,0.3436973381556235,-0.8214763157752596,3.0,1.0,0.0,4.0,5.0,2.0,2.0,0.0,5.0,6.0,1.0,1.0,12.0,13.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,0.0,1.0,4.0,1.0,2.0,6.0,1.0,4.0,2.0,2.0,8.0,4.0,1.0,1.0,1.0,3
3,-0.44794003042303426,-0.09689747386100432,-0.5707501337786359,-0.06166956894008201,-0.7521758378613592,-0.1760484242510734,4.092523739317571,-0.11633928614822256,-0.2702083542015609,-0.11449337234499064,-1.1898549913995724,1.0603965489964808,-0.8838360378165188,1.8006756310155536,0.272707125580919,-0.0937518682484795,0.6324640661278548,3.0,1.0,0.0,0.0,6.0,2.0,2.0,0.0,5.0,6.0,1.0,1.0,13.0,15.0,3.0,4.0,0.0,3.0,1.0,3.0,0.0,5.0,1.0,2.0,1.0,4.0,1.0,2.0,6.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,4
4,0.6419716886258603,0.37514829134961014,1.366489196155293,-0.17486457365774016,0.7801971853099035,0.5637603322645395,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,0.9446313995422347,1.1693866846213092,1.0603965489964808,-0.8838360378165188,-0.9440523308267706,1.601358082248801,1.0934259190428914,-0.7245469569817187,3.0,1.0,0.0,2.0,15.0,2.0,2.0,0.0,5.0,7.0,1.0,1.0,12.0,13.0,2.0,4.0,2.0,2.0,3.0,0.0,2.0,5.0,1.0,0.0,1.0,4.0,1.0,2.0,6.0,1.0,4.0,3.0,2.0,11.0,4.0,1.0,1.0,1.0,5
5,0.6873846769195642,0.3606160968792197,-0.5707501337786359,-1.1392860138521876,-0.43293145803401284,-0.25153911369144205,-0.3593249004055313,10.802446267979857,-0.2702083542015609,-0.4979695828558826,-0.4034410993926118,1.0603965489964808,-0.5508401692414102,-0.6795002381190768,-1.4988274833095903,0.1140042445275104,-0.43375888060109574,3.0,1.0,0.0,4.0,11.0,2.0,2.0,0.0,0.0,4.0,1.0,1.0,12.0,13.0,3.0,4.0,5.0,2.0,3.0,3.0,2.0,5.0,1.0,0.0,1.0,4.0,1.0,3.0,6.0,0.0,5.0,2.0,2.0,9.0,4.0,1.0,1.0,1.0,6
6,0.23325479398252483,-0.04337890939763529,0.4587541958433949,-0.5665192899808374,1.283007083537974,0.15611060928654868,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,0.9896746369673236,0.38297279261434874,1.0603965489964808,-1.0919584556759616,-1.1093973887690793,0.272707125580919,1.3644121530985305,-1.0153350333623414,3.0,1.0,3.0,4.0,21.0,2.0,2.0,0.0,2.0,7.0,1.0,1.0,12.0,13.0,2.0,4.0,2.0,0.0,3.0,0.0,2.0,5.0,1.0,0.0,1.0,4.0,1.0,2.0,6.0,1.0,2.0,2.0,2.0,7.0,4.0,1.0,1.0,1.0,7
7,-0.03922313577969881,-0.013512744210212127,0.7576425496046296,-0.7951731995105069,1.1233848936243007,2.3755368788333873,3.37237175348001,-0.11633928614822256,-0.2702083542015609,0.7668932194324245,1.1693866846213092,1.0603965489964808,0.281649502196361,-0.018120006349842004,0.272707125580919,1.2585984807529953,0.6324640661278548,3.0,1.0,0.0,0.0,14.0,4.0,2.0,0.0,5.0,6.0,1.0,1.0,6.0,6.0,3.0,4.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,6.0,2.0,4.0,2.0,2.0,10.0,4.0,1.0,1.0,1.0,8
8,-0.8566569250663697,-0.44065903960886155,-0.5707501337786359,0.8710572699334213,-0.03387598324982984,-0.704483250333654,2.9959286699740124,-0.11633928614822256,-0.2702083542015609,0.1935049808589956,0.38297279261434874,-0.8821115583245506,1.9882533286437922,1.3377094687770892,0.272707125580919,-0.298927159747749,1.6986870128568052,4.0,1.0,3.0,4.0,17.0,0.0,2.0,0.0,0.0,6.0,1.0,1.0,3.0,15.0,3.0,4.0,0.0,3.0,3.0,3.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,9
9,-0.9020699133600736,-0.31037039952949874,-0.5707501337786359,-0.9672296066813473,-0.7521758378613592,-0.644090698781359,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.6075342144304231,-1.1898549913995724,1.0603965489964808,1.6552574600686838,1.0731573760693953,-1.055943831086963,-0.10020392144028044,1.6986870128568052,3.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,8.0,8.0,3.0,4.0,0.0,3.0,3.0,3.0,2.0,5.0,1.0,0.0,1.0,4.0,2.0,3.0,6.0,2.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,10
